"Date","Price","Open","High","Low","Vol.","Change %"
"01/02/2010","190.69","188.65","193.84","181.96","","1.01%"
"01/01/2010","188.79","197.43","204.55","188.47","","-4.35%"
"01/12/2009","197.38","193.70","199.80","192.11","","1.93%"
"01/11/2009","193.65","185.59","199.06","183.82","","3.89%"
"01/10/2009","186.40","189.68","198.49","182.69","","-1.63%"
"01/09/2009","189.49","181.40","193.20","176.48","","4.42%"
"01/08/2009","181.47","176.05","184.31","172.95","","3.49%"
"01/07/2009","175.35","161.37","176.35","152.83","","8.74%"
"01/06/2009","161.25","162.40","168.14","155.60","","-0.68%"
"01/05/2009","162.36","147.92","162.51","147.53","","9.66%"
"01/04/2009","148.06","132.46","149.78","131.37","","11.73%"
"01/03/2009","132.52","121.76","139.12","112.42","","8.16%"
"01/02/2009","122.52","135.63","143.17","121.63","","-9.93%"
"01/01/2009","136.03","149.83","155.79","130.89","","-8.81%"
"01/12/2008","149.17","143.66","152.32","132.13","","3.60%"
"01/11/2008","143.99","154.76","163.82","123.11","","-6.75%"
"01/10/2008","154.41","193.26","194.64","132.69","","-19.97%"
"01/09/2008","192.95","220.34","220.34","187.21","","-12.51%"
"01/08/2008","220.55","226.02","226.38","215.13","","-2.40%"
"01/07/2008","225.97","231.60","231.85","216.89","","-2.47%"
"01/06/2008","231.70","253.57","253.98","230.45","","-8.58%"
"01/05/2008","253.44","251.13","260.25","249.97","","1.11%"
"01/04/2008","250.66","237.64","252.56","237.00","","5.31%"
"01/03/2008","238.02","241.28","241.28","226.14","","-1.71%"
"01/02/2008","242.16","242.58","249.83","232.24","","0.07%"
"01/01/2008","241.98","263.40","264.16","224.33","","-8.22%"
"01/12/2007","263.66","267.08","273.28","256.01","","-1.25%"
"01/11/2007","266.99","279.54","279.75","254.79","","-4.34%"
"01/10/2007","279.10","268.87","279.57","264.99","","3.96%"
"01/09/2007","268.48","255.27","269.22","249.80","","5.22%"
"01/08/2007","255.16","256.31","259.90","235.99","","-0.45%"
"01/07/2007","256.32","260.69","270.55","253.59","","-1.55%"
"01/06/2007","260.36","261.44","264.24","254.15","","-0.38%"
"01/05/2007","261.36","254.38","262.01","253.38","","2.76%"
"01/04/2007","254.34","244.17","256.95","243.37","","4.32%"
"01/03/2007","243.81","239.55","245.85","231.84","","1.80%"
"01/02/2007","239.50","241.59","248.81","238.35","","-0.70%"
"01/01/2007","241.20","239.46","242.75","234.52","","0.89%"
"01/12/2006","239.08","233.89","240.02","232.73","","2.22%"
"01/11/2006","233.88","227.81","234.28","226.46","","2.67%"
"01/10/2006","227.79","219.88","229.16","218.97","","3.65%"
"01/09/2006","219.76","217.42","220.48","213.02","","1.12%"
"01/08/2006","217.33","212.26","217.98","210.28","","2.40%"
"01/07/2006","212.24","210.67","215.29","200.50","","0.72%"
"01/06/2006","210.73","210.72","214.75","197.52","","-0.09%"
"01/05/2006","210.92","220.42","226.00","207.24","","-4.18%"
"01/04/2006","220.12","213.61","220.80","212.86","","3.12%"
"01/03/2006","213.47","209.24","215.36","205.86","","1.95%"
"01/02/2006","209.38","209.84","211.22","204.84","","-0.21%"
"01/01/2006","209.82","200.50","210.30","200.47","","4.91%"
"01/12/2005","200.00","195.35","202.01","195.30","","2.39%"
"01/11/2005","195.34","188.97","197.55","188.94","","3.40%"
